Accession	Name	Description	Source Database
IPR032312	Beta-galactosidase, domain 4	This entry represents domain 4 found in beta-galactosidase [[cite:PUB00004183], [cite:PUB00101228]] and it is organised in a jelly-roll type barrel (Rutkiewicz-Krotewicz M. Crystals 2018, 8(1), 13, https://doi.org/10.3390/cryst8010013).	INTERPRO
PF16353	Beta-galactosidase, domain 4	This entry represents domain 4 found in beta-galactosidase [[cite:PUB00004183]] and it is organised in a jelly-roll type barrel (Rutkiewicz-Krotewicz M. et al. Crystals 2018, 8(1), 13, https://doi.org/10.3390/cryst8010013).	PFAM
IPR015167	Domain of unknown function DUF1923	This domain is found in maltosyltransferases, adopting a secondary structure that consists of eight antiparallel β-strands forming an open-sided 'jelly roll' Greek key β-barrel. Their exact function is, as yet, unknown [[cite:PUB00025274]].	INTERPRO
PF20511	Phosphomannose isomerase type I, catalytic domain	This entry represents the catalytic domain of Phosphomannose isomerase type I enzymes (EC 5.3.1.8) which contains a zinc-binding site. It is composed of beta-strands connected by long loops in a jelly roll conformation [[cite:PUB00003929]].	PFAM
IPR054074	A223 penton protein, C-terminal	This entry represents the C-terminal second jelly roll domain of the Sulfolobus turreted icosahedral virus (STIV) penton protein ([swissprot:Q6Q0L4], [cite:PUB00154247]). STIV is a virus that infects the archaeon Sulfolobus solfataricus and was isolated in acidic hot springs. The virus has a unique architecture based on a pseudo T = 31d capsid symmetry with each icosahedral asymmetric unit consisting of 15 copies of the coat subunit (B345), one copy of the A223 penton base protein, one copy of the C381 turret protein, and one copy of the A55 membrane protein. The pentameric penton base protein is a crucial component of the virus as it forms the vertices of the capsid shell and decorates the penton base structure forming the first floor of the turret. The penton protein contains three different layers, with the N termini forming a 10-stranded β-pore, the middle layer comprising a canonical viral jelly-roll forming a pentameric ring, and the C-terminal forming a second pentameric ring of jelly-rolls.	INTERPRO
IPR009103	Olfactory marker protein	Olfactory marker protein (OMP) is a highly expressed, cytoplasmic protein found in mature olfactory sensory receptor neurons of all vertebrates. OMP is a modulator of the olfactory signal transduction cascade. The crystal structure of OMP reveals a β sandwich consisting of eight strands in two sheets with a jelly-roll topology [[cite:PUB00013265]]. Three highly conserved regions have been identified as possible protein-protein interaction sites in OMP, indicating a possible role for OMP in modulating such interactions, thereby acting as a molecular switch [[cite:PUB00013266]].	INTERPRO
IPR010092	Chlorinating enzyme	This entry represents a group of highly homologous enzymes related to dioxygenases which chlorinate amino acid methyl groups. L-threonyl-[L-threonyl-carrier protein] 4-chlorinase (SyrB2)  chlorinates the methyl group of threonine in the biosynthesis of syringomycin in Pseudomonas syringae in a reaction that requires oxygen, chloride ions, ferrous iron and α-oxoglutarate [[cite:PUB00013826], [cite:PUB00013788], [cite:PUB00100320], [cite:PUB00100321], [cite:PUB00100319]]. α-oxoglutarate seems to provide structural stability to the protein, which shows an eight-stranded anti-parallel β-sandwich 'jelly-roll' motif [[cite:PUB00040622]].	INTERPRO
PF09083	Domain of unknown function (DUF1923)	Members of this family are found in maltosyltransferases, and adopt a secondary structure consisting of eight antiparallel beta-strands, which form an open-sided 'jelly roll' Greek key beta-barrel. Their exact function is, as yet, unknown [[cite:PUB00025274]].	PFAM
cd06983	Desulfitobacterium hafniense dsy2733 and related proteins, cupin domain	"This family includes bacterial proteins homologous to dsy2733, a Desulfitobacterium hafniense protein of unknown function. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00016787], [cite:PUB00007277], [cite:PUB00102372]]"	CDD
cd07008	Klebsiella pneumoniae yp_001338853.1 and related proteins, cupin domain	"This family includes bacterial proteins homologous to Klebsiella pneumoniae yp_001338853.1, an uncharacterized conserved protein with double-stranded beta-helix domain. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00149889]]"	CDD
cd07009	Bradyrhizobium japonicum BLL0285 and related proteins, cupin domain	"This family includes bacterial proteins homologous to BLL0285, a Bradyrhizobium japonicum protein of unknown function. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00016787], [cite:PUB00007277], [cite:PUB00102372]]"	CDD
cd02234	Bradyrhizobium japonicum BLR7677 and related proteins, cupin domain	"This family includes bacterial and fungal proteins homologous to BLR7677, a Bradyrhizobium japonicum protein of unknown function. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00103823], [cite:PUB00016787]]"	CDD
cd06980	uncharacterized protein bxe_c0505, cupin domain	"This family includes mostly bacterial proteins homologous to bxe_c0505, a Burkholderia xenovorans protein of unknown function. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00016787], [cite:PUB00007277], [cite:PUB00102372]]"	CDD
cd02236	Chromobacterium violaceum CV2614 and related proteins, cupin domain	"This family includes mostly bacterial proteins homologous to CV2614, a Chromobacterium violaceum protein of unknown function. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00103823], [cite:PUB00016787], [cite:PUB00108055]]"	CDD
IPR007803	Aspartyl/asparaginy/proline hydroxylase	"Iron (II)/2-oxoglutarate (2-OG)-dependent oxygenases catalyse oxidative reactions in a range of metabolic processes. Proline 3-hydroxylase (P3H) hydroxylates proline at position 3, the first of a 2-OG oxygenase catalysing oxidation of a free alpha-amino acid. The structure of proline 3-hydroxylase contains the conserved motifs present in other 2-OG oxygenases including a jelly roll strand core and residues binding iron and 2-oxoglutarate, consistent with divergent evolution within the extended family. PH3 folds into two domains, an

N-terminal domain containing 10 β strands and a C-terminal helical domain. The N-terminal domain contains the distorted jelly roll β sheet core [[cite:PUB00020183]]. A similar domain is also found in aspartyl/asparaginyl beta-hydroxylase, which hydroxylates one aspartic or asparagine residue in certain epidermal growth factor-like domains of a number of proteins [[cite:PUB00010142]]."	INTERPRO
PF22237	SO2946-like, C-terminal domain	This entry represents the C-terminal domain of SO2946 from Shewanella oneidensis MR-1. The SO2946 protein consists of a short helical N-terminal domain and a large C-terminal domain with the jelly-roll topology, identified as a putative carbohydrate-binding module [[cite:PUB00047012]].	PFAM
cd06984	uncharacterized Methanocaldococcus jannaschii Moth_1897 and related proteins, cupin domain	"This family includes archaeal and bacterial proteins homologous to Moth_1897, a Methanocaldococcus jannaschii protein of unknown function. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00016787], [cite:PUB00007277], [cite:PUB00102372]]"	CDD
cd06985	Bacteroides fragilis BF4112 and related proteins, cupin domain	"This family includes archaeal and bacterial proteins homologous to BF4112, a Bacteroides fragilis protein of unknown function. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00016787], [cite:PUB00007277], [cite:PUB00102372]]"	CDD
cd06987	Microcystis aeruginosa MAE_RS03005 and related proteins, cupin domain	"This family includes bacterial and some eukaryotic proteins homologous to MAE_RS03005, a Microcystis aeruginosa protein of unknown function. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00016787], [cite:PUB00007277], [cite:PUB00102372]]"	CDD
